place_name,sector,risk
Palazzo Moro,heritage,high
Palazzo Tiepolo,heritage,high
Palazzo Giustiniani,heritage,high
Palazzo Treves De Bonfilio,heritage,high
Ex-convento della Celestia,heritage,high
Palazzo Erizzo,heritage,high
Chiesa di San Lazzaro dei Mendicanti,heritage,high
Scuola Grande San Marco,heritage,high
Daniele Manin,heritage,high
Carlo Goldoni,heritage,high
Palazzo Ducale,heritage,high
Casa di Tintoretto,heritage,high
Palazzetto Stern,heritage,high
Casa dei Tre Oci,heritage,high
Giardini Reali di Venezia,heritage,high
Museo Ebraico,heritage,high
Campanile di San Marco,heritage,high
Palazzo Loredan dell'Ambasciatore,heritage,high
Palazzo Bellavite,heritage,high
Colonna di San Marco,heritage,high
Colonna di San Teodoro,heritage,high
Palazzo Dandolo,heritage,high
Pozzo Veneziano dei Bernardo,heritage,high
Vittorio Emanuele II,heritage,high
Bartolomeo Colleoni,heritage,high
Monumento alla Partigiana,heritage,high
Questura,transport,high
Monumento a Niccolò Tommaseo,heritage,high
Gallerie dell'Accademia,heritage,high
Il nuovo trionfo,heritage,high
Biblioteca galleggiante,heritage,high
Rimorchiatore,heritage,high
Forte di Sant'Andrea,heritage,high
San Nicolo' Aquileia,transport,high
San Nicolo' Marco Polo,transport,high
Gallo Bragadin,transport,high
Gallo Contarini,transport,high
Gallo Contarini,transport,high
Santa Maria Elisabetta,transport,high
San Nicolo' Cipro,transport,high
Gallo Bragadin,transport,high
D'Annunzio Spiagge,transport,high
D'Annunzio Pola,transport,high
San Nicolo' Marco Polo,transport,high
San Nicolo' Cipro,transport,high
Marconi Des Bains,transport,high
Santa Maria Elisabetta,transport,high
Gran Viale,transport,high
San Nicolo' Aquileia,transport,high
D'Annunzio Pola,transport,high
Giardini della Biennale,heritage,high
Museo Diocesano,heritage,high
Vigili del Fuoco,transport,high
Museo di Storia Naturale di Venezia,heritage,high
Guardia di Finanza,transport,high
Prefettura di Venezia,transport,high
Carabinieri,transport,high
Venezia - Piazzale Roma,transport,high
"Museo di Fisica ""Anton Maria Traversi""",heritage,high
Museo Correr,heritage,high
Museo archeologico nazionale di Venezia,heritage,high
Guardia di Finanza Comando Regionale del Veneto,transport,high
Museo della Musica,heritage,high
Istituto Veneto di Scienze Lettere ed Arti,heritage,high
Venezia Tronchetto,transport,high
Casa di Carlo Goldoni,heritage,high
La Biennale di Venezia - Arsenale,heritage,high
Palazzo Bembo,heritage,high
Museo d'Arte Orientale,heritage,high
Liberta' Santa Chiara,transport,high
Liberta' Santa Chiara,transport,high
Guardia di Finanza I gruppo Venezia,transport,high
Leonardo da Vinci,heritage,high
Palazzo Mocenigo,heritage,high
TIM Future Center,heritage,high
Negozio Olivetti,heritage,high
Galleria internazionale di arte moderna,heritage,high
Scuola Grande di San Marco,heritage,high
bus stop to PLUS Camping Jolly,transport,high
Santa Maria Elisabetta,transport,high
Marconi Des Bains,transport,high
Santa Maria Elisabetta,transport,high
D'Annunzio Spiagge,transport,high
Marconi Fiume,transport,high
Gran Viale S.M.E. - Incr. via Zara,transport,high
Gran Viale,transport,high
Marconi Fiume,transport,high
Gran Viale S.M.E. - Incr. via Dardanelli,transport,high
Santa Maria Elisabetta,transport,high
Peggy Guggenheim Collection,heritage,high
Fondazione Querini Stampalia,heritage,high
Istituto Ospedaliero Fatebenefratelli,transport,high
Palazzo Soranzo Van Axel,heritage,high
Polizia Municipale,transport,high
Palazzo Zaguri,heritage,high
Museo del Manicomio,heritage,high
Carabinieri,transport,high
Venezia - Piazzale Roma,transport,high
Museo Wagner,heritage,high
Polizia Locale Venezia,transport,high
Museo della farmacia,heritage,high
Polizia Municipale Sezione Cannaregio,transport,high
Fondazione Prada,heritage,high
Binario 22,transport,high
Human Safety Net,heritage,high
Opera Bevilacqua La Masa,heritage,high
Museo di icone,heritage,high
Museo diocesano,heritage,high
Leonardo da Vinci,heritage,high
ATVO Aiport Express,transport,high
Venezia,transport,high
Palazzo Diedo,heritage,high
Giardini del Redentore,heritage,high
Vigili Urbani,transport,high
Carabinieri,transport,high
